brand_name,website,description,category,certifications,sustainability_score,eco_materials_score,carbon_footprint,water_usage,worker_welfare,year,latitude,longitude,city,state,zip_code
Patagonia,https://www.patagonia.com,"Leading outdoor clothing company committed to environmental sustainability and fair labor practices","Outdoor Apparel","B Corp|1% for the Planet|Fair Trade",95,94,92,96,98,2023,37.7749,-122.4194,"San Francisco","CA","94105"
REI,https://www.rei.com,"Member-owned outdoor retail cooperative focusing on sustainable and ethical outdoor gear","Outdoor Retail","Fair Trade|B Corp|Sustainable Apparel Coalition",92,90,88,91,94,2023,47.6062,-122.3321,"Seattle","WA","98104"
Everlane,https://www.everlane.com,"Modern essentials made ethically with radical transparency","Fashion Retail","Fair Trade|GOTS|Sustainable Apparel Coalition",88,86,85,87,90,2023,41.8781,-87.6298,"Chicago","IL","60601"
Reformation,https://www.thereformation.com,"Sustainable fashion with modern aesthetic and carbon neutral commitment","Contemporary Fashion","Climate Neutral|FSC|GOTS",87,89,84,86,89,2023,40.7128,-74.0060,"New York","NY","10013"
Allbirds,https://www.allbirds.com,"Sustainable footwear using natural and recycled materials","Footwear","B Corp|FSC|Carbon Neutral",89,91,88,87,90,2023,37.7749,-122.4194,"San Francisco","CA","94105"
Eileen Fisher,https://www.eileenfisher.com,"Timeless designs with commitment to sustainability and circular fashion","Contemporary Fashion","B Corp|Fair Trade|GOTS",90,92,89,88,91,2023,40.7128,-74.0060,"New York","NY","10013"
Tentree,https://www.tentree.com,"Eco-conscious clothing brand planting trees for every purchase","Outdoor Apparel","B Corp|Fair Trade|Climate Neutral",88,90,87,86,89,2023,49.2827,-123.1207,"Vancouver","BC","V6B 1B8"
Outerknown,https://www.outerknown.com,"Sustainable surf and lifestyle brand founded by Kelly Slater","Contemporary Fashion","Fair Labor|Fair Trade|GOTS",86,88,85,84,87,2023,33.7175,-118.2987,"Los Angeles","CA","90001"
Alternative Apparel,https://www.alternativeapparel.com,"Sustainable basics and casual wear","Fashion Basics","GOTS|Fair Labor|Sustainable Apparel Coalition",85,87,84,83,86,2023,33.7490,-84.3880,"Atlanta","GA","30303"
United By Blue,https://unitedbyblue.com,"Sustainable outdoor apparel removing ocean waste","Outdoor Apparel","B Corp|1% For The Planet|Fair Trade",87,89,86,85,88,2023,39.9526,-75.1652,"Philadelphia","PA","19123"
Madewell,https://www.madewell.com,"Sustainable denim and casual wear","Fashion Retail","Fair Trade|GOTS",84,82,80,85,88,2023,41.8781,-87.6298,"Chicago","IL","60601"
Reformation,https://www.thereformation.com,"Sustainable fashion with modern aesthetic","Contemporary Fashion","Climate Neutral|FSC",87,89,84,86,89,2023,40.7128,-74.0060,"New York","NY","10013"
Outdoor Voices,https://www.outdoorvoices.com,"Technical apparel for recreation","Activewear","BlueSign|Recycled Materials",83,85,80,82,85,2023,30.2672,-97.7431,"Austin","TX","78701"
Fair Harbor,https://fairharbor.com,"Sustainable swimwear from recycled materials","Swimwear","Recycled Materials|1% for the Planet",85,87,83,84,86,2023,41.8240,-71.4128,"Providence","RI","02903"
Cariuma,https://cariuma.com,"Sustainable sneakers and skate shoes","Footwear","B Corp|Fair Trade",86,88,84,85,87,2023,39.9612,-82.9988,"Columbus","OH","43215"
Ministry of Supply,https://ministryofsupply.com,"Technical business wear with sustainability focus","Business Wear","Climate Neutral|Bluesign",87,89,85,86,88,2023,42.3314,-83.0458,"Detroit","MI","48226"
Taylor Stitch,https://taylerstitch.com,"Sustainable menswear and essentials","Contemporary Fashion","Organic|Responsible Wool",84,86,82,83,85,2023,43.0389,-87.9065,"Milwaukee","WI","53202"
Arctic Style Co.,https://arcticstyleco.com,"Sustainable cold weather fashion","Winter Apparel","Responsible Down|Fair Trade",87,89,85,86,88,2023,61.2181,-149.9003,"Anchorage","AK","99501"
Hoosier Sustainable,https://hoosiersustainable.com,"Eco-friendly Indiana fashion","Fashion Basics","GOTS|Local Production",85,87,83,84,86,2023,39.7684,-86.1581,"Indianapolis","IN","46204"
Prairie Threads,https://prairiethreads.com,"Sustainable Kansas fashion","Contemporary Fashion","Fair Trade|Organic Cotton",86,88,84,85,87,2023,37.6872,-97.3301,"Wichita","KS","67202"
Bayou Clothing Co.,https://bayouclothingco.com,"Sustainable Louisiana fashion","Contemporary Fashion","Fair Labor|Local Production",84,86,82,83,85,2023,29.9511,-90.0715,"New Orleans","LA","70112"
Chesapeake Apparel,https://chesapeakeapparel.com,"Sustainable Maryland fashion","Fashion Basics","Fair Trade|GOTS",86,88,84,85,87,2023,39.2904,-76.6122,"Baltimore","MD","21201"
